item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
A01_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,3,3,2,True,0,,200,778,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A01_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,2,5,4,3,2,True,0,,200,756,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A02_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,5,1,True,0,,200,768,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A02_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,2,2,4,3,2,4,True,0,,200,752,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A03_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,3,2,4,3,3,2,True,0,,200,757,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A03_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,5,1,True,0,,200,783,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A04_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,1,1,3,1,1,5,True,0,,200,761,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A04_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,4,3,4,4,4,2,True,0,,200,775,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A05_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,3,5,4,5,1,True,0,,200,774,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A05_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,2,2,3,2,1,5,True,0,,200,755,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A06_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,5,1,True,0,,200,777,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A06_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,1,1,3,1,1,5,True,0,,200,766,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A07_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,3,5,5,5,1,True,0,,200,758,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A07_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,1,1,3,3,1,5,True,0,,200,746,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A08_A,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,2,1,3,2,1,5,True,0,,200,763,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A08_B,deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4,5,4,5,5,4,1,True,0,,200,772,94,fp_9954b31ca7_prod0820_fp8_kvcache_20260402
A02_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,4,5,5,4,2,True,0,,200,1050,590,
A01_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,4,5,2,True,0,,200,1031,580,
A01_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,4,5,5,5,1,True,0,,200,1060,590,
A03_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4,3,5,5,4,2,True,0,,200,1034,364,
A02_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1,1,4,2,1,5,True,0,,200,1025,510,
A03_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,4,5,5,5,1,True,0,,200,1070,337,
A04_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1,1,5,2,1,5,True,0,,200,1041,590,
A04_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,4,5,5,5,1,True,0,,200,1067,378,
A05_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1,2,5,2,1,5,True,0,,200,1033,423,
A06_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5,4,5,5,5,1,True,0,,200,1048,282,
