item_id,source_item_uid,domain,concept,task_type,source_generator_model,api_input_sha256,api_input_chars,api_input_nonempty,api_input_answer_label_only,api_input_has_question,api_input_option_count_detected,api_input_has_options,api_input_has_answer,api_input_has_explain,source_corpus_has_question,source_corpus_has_options,source_corpus_has_answer,source_corpus_has_explain,integrity_pass_for_api_judging,notes
API810_001,千问_A_C01,Physics,惯性,A,Alibaba Qwen,50b2d2914eea55634caea0d15648d7e0989fe0e3787433195d1b0aa6a9020681,79,True,False,False,0,False,False,False,False,False,False,False,True,
API810_002,千问_A_C02,Physics,净力与加速度,A,Alibaba Qwen,1f8182546e11c1e686673a8e7b54693af5f44406c5994adff21eb41d599fb003,80,True,False,False,0,False,False,False,False,False,False,False,True,
API810_003,千问_A_C03,Physics,牛顿第三定律,A,Alibaba Qwen,929a55002dfd107737c2f540e2e35c90d8a23ece88f1eb6e8800d54600454c8c,84,True,False,False,0,False,False,False,False,False,False,False,True,
API810_004,千问_A_C04,Physics,抛体运动,A,Alibaba Qwen,227720273d1def2111f7d95611bd794650f215eb74f5ca81dacdcadafe27675e,79,True,False,False,0,False,False,False,False,False,False,False,True,
API810_005,千问_A_C05,Physics,圆周运动,A,Alibaba Qwen,75ee3bb9c30f4e8e7168a947fc9d1c8af5415067353cb9e7b736a8af03753906,81,True,False,False,0,False,False,False,False,False,False,False,True,
API810_006,千问_A_C06,Physics,摩擦力与运动,A,Alibaba Qwen,a8fee434e45e45b6fe84fdf8a2056a9d87e2343e3172dc9de3846815442dd955,86,True,False,False,0,False,False,False,False,False,False,False,True,
API810_007,千问_A_C07,Chemistry,质量守恒,A,Alibaba Qwen,82057962a725a9078bf48fd6768d40a618ce12b5f9d5bd73e8bccf895c8c84d4,80,True,False,False,0,False,False,False,False,False,False,False,True,
API810_008,千问_A_C08,Chemistry,物质微粒观,A,Alibaba Qwen,fa7c2ccc5dd47492eec3f30c798c7931c8a812e532fa2176e4dea39a2267aff9,79,True,False,False,0,False,False,False,False,False,False,False,True,
API810_009,千问_A_C09,Chemistry,相变,A,Alibaba Qwen,d8435779dd16adbcda00443cf2c347af74926a260d4d3e51fc19a48522d8c7a4,88,True,False,False,0,False,False,False,False,False,False,False,True,
API810_010,千问_A_C10,Chemistry,化学反应与物理变化,A,Alibaba Qwen,5fbded0e16573ccc1432b7d0472d333e29f380ccc33703e1d8690a5e3871f1b7,82,True,False,False,0,False,False,False,False,False,False,False,True,
