stage,model_family,exact_model_version,exact_model_version_source,api_or_web_interface,interface_source,run_datetime_or_date_range,temperature,top_p,max_tokens,system_prompt,operator_notes
generation,Anthropic Claude,Anthropic Claude Sonnet 4.6,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Anthropic Claude,Anthropic Claude Sonnet 4.6,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,DeepSeek,DeepSeek-V4 Expert Mode,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,DeepSeek,DeepSeek-V4 Expert Mode,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,Google Gemini,Google Gemini 3.1 Pro,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Google Gemini,Google Gemini 3.1 Pro,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,Zhipu GLM,Zhipu GLM-5.1,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Zhipu GLM,Zhipu GLM-5.1,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,OpenAI GPT,OpenAI GPT-5.5 Thinking,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,OpenAI GPT,OpenAI GPT-5.5 Thinking,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,Moonshot Kimi,Moonshot Kimi K2.6 Thinking,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Moonshot Kimi,Moonshot Kimi K2.6 Thinking,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,Mimo,Mimo v2.5 Pro,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Mimo,Mimo v2.5 Pro,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,Alibaba Qwen,Alibaba Qwen3.5 Thinking,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,Alibaba Qwen,Alibaba Qwen3.5 Thinking,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
generation,ByteDance Doubao,ByteDance Doubao Expert,user-confirmed generators used the same exact model labels as judges in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
automated_judging,ByteDance Doubao,ByteDance Doubao Expert,user-provided judge-model table in conversation on 2026-05-13,web interface,user-confirmed all generation and judging used web interfaces in conversation on 2026-05-13,,,,,,
