item_id,generator,model,task,domain,concept_id,concept,output,text,content_json,model_file
千问_A_C01,Alibaba Qwen,Alibaba Qwen,A,Physics,C01,惯性,惯性是物体保持原有运动状态的性质。,惯性是物体保持原有运动状态的性质。,"{""id"":""C01"",""concept"":""惯性"",""text"":""惯性是物体保持原有运动状态的性质。"",""misconception"":""运动必须一直受力"",""correction"":""没有净力时，物体也可保持匀速直线运动。""}",千问.txt
千问_A_C02,Alibaba Qwen,Alibaba Qwen,A,Physics,C02,净力与加速度,力改变物体运动状态，产生加速度。,力改变物体运动状态，产生加速度。,"{""id"":""C02"",""concept"":""净力与加速度"",""text"":""力改变物体运动状态，产生加速度。"",""misconception"":""力是维持速度的原因"",""correction"":""力是改变速度的原因，速度变化才需要净力。""}",千问.txt
千问_A_C03,Alibaba Qwen,Alibaba Qwen,A,Physics,C03,牛顿第三定律,作用力与反作用力大小相等、方向相反。,作用力与反作用力大小相等、方向相反。,"{""id"":""C03"",""concept"":""牛顿第三定律"",""text"":""作用力与反作用力大小相等、方向相反。"",""misconception"":""作用力大于反作用力"",""correction"":""两力同时存在，大小永远相等，作用于不同物体。""}",千问.txt
千问_A_C04,Alibaba Qwen,Alibaba Qwen,A,Physics,C04,抛体运动,水平匀速与竖直自由落体的合成运动。,水平匀速与竖直自由落体的合成运动。,"{""id"":""C04"",""concept"":""抛体运动"",""text"":""水平匀速与竖直自由落体的合成运动。"",""misconception"":""水平运动需要持续受力"",""correction"":""水平方向不受力，仅靠惯性匀速运动。""}",千问.txt
千问_A_C05,Alibaba Qwen,Alibaba Qwen,A,Physics,C05,圆周运动,物体做圆周运动时需要向心力维持。,物体做圆周运动时需要向心力维持。,"{""id"":""C05"",""concept"":""圆周运动"",""text"":""物体做圆周运动时需要向心力维持。"",""misconception"":""圆周运动会产生离心力"",""correction"":""离心力是假想力，实际只有向心力拉向圆心。""}",千问.txt
千问_A_C06,Alibaba Qwen,Alibaba Qwen,A,Physics,C06,摩擦力与运动,摩擦力阻碍相对运动，但不总是阻碍物体前进。,摩擦力阻碍相对运动，但不总是阻碍物体前进。,"{""id"":""C06"",""concept"":""摩擦力与运动"",""text"":""摩擦力阻碍相对运动，但不总是阻碍物体前进。"",""misconception"":""摩擦力总是阻碍物体运动"",""correction"":""人走路或车加速时，摩擦力是前进的动力。""}",千问.txt
千问_A_C07,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C07,质量守恒,化学反应前后，物质总质量保持不变。,化学反应前后，物质总质量保持不变。,"{""id"":""C07"",""concept"":""质量守恒"",""text"":""化学反应前后，物质总质量保持不变。"",""misconception"":""燃烧后质量消失"",""correction"":""燃烧产物质量等于反应物质量，质量不会消失。""}",千问.txt
千问_A_C08,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C08,物质微粒观,物质由微小粒子构成，粒子间有空隙。,物质由微小粒子构成，粒子间有空隙。,"{""id"":""C08"",""concept"":""物质微粒观"",""text"":""物质由微小粒子构成，粒子间有空隙。"",""misconception"":""原子像实心小球"",""correction"":""原子内部绝大部分是空的，电子云分布概率。""}",千问.txt
千问_A_C09,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C09,相变,物质状态变化是物理变化，分子本身未变。,物质状态变化是物理变化，分子本身未变。,"{""id"":""C09"",""concept"":""相变"",""text"":""物质状态变化是物理变化，分子本身未变。"",""misconception"":""水烧开后变成气体，分子被破坏了"",""correction"":""相变只改变分子间距，分子结构保持不变。""}",千问.txt
千问_A_C10,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C10,化学反应与物理变化,化学反应生成新物质，物理变化不生成。,化学反应生成新物质，物理变化不生成。,"{""id"":""C10"",""concept"":""化学反应与物理变化"",""text"":""化学反应生成新物质，物理变化不生成。"",""misconception"":""发光发热就是化学变化"",""correction"":""灯泡发光发热是物理变化，未生成新物质。""}",千问.txt
千问_A_C11,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C11,化学键,化学键是原子间强烈的相互作用。,化学键是原子间强烈的相互作用。,"{""id"":""C11"",""concept"":""化学键"",""text"":""化学键是原子间强烈的相互作用。"",""misconception"":""化学键是胶水一样的物质"",""correction"":""化学键是电磁力作用，不是实体物质。""}",千问.txt
千问_A_C12,Alibaba Qwen,Alibaba Qwen,A,Chemistry,C12,溶液浓度与稀释,稀释溶液时，溶质的量保持不变。,稀释溶液时，溶质的量保持不变。,"{""id"":""C12"",""concept"":""溶液浓度与稀释"",""text"":""稀释溶液时，溶质的量保持不变。"",""misconception"":""加水稀释，溶质变少了"",""correction"":""加水只增加溶剂，溶质的量在稀释中不变。""}",千问.txt
千问_A_C13,Alibaba Qwen,Alibaba Qwen,A,Biology,C13,自然选择,适应环境的个体更可能生存并留下后代。,适应环境的个体更可能生存并留下后代。,"{""id"":""C13"",""concept"":""自然选择"",""text"":""适应环境的个体更可能生存并留下后代。"",""misconception"":""生物为了适应而主动改变"",""correction"":""环境筛选已有的变异，生物不主动改变基因。""}",千问.txt
千问_A_C14,Alibaba Qwen,Alibaba Qwen,A,Biology,C14,进化没有预设目标,进化是随机过程，没有向更高级发展的目标。,进化是随机过程，没有向更高级发展的目标。,"{""id"":""C14"",""concept"":""进化没有预设目标"",""text"":""进化是随机过程，没有向更高级发展的目标。"",""misconception"":""生物进化是为了变得更完美"",""correction"":""进化没有目标，只有适应当前环境的生存。""}",千问.txt
千问_A_C15,Alibaba Qwen,Alibaba Qwen,A,Biology,C15,随机变异与非随机选择,变异是随机的，自然选择是非随机的筛选。,变异是随机的，自然选择是非随机的筛选。,"{""id"":""C15"",""concept"":""随机变异与非随机选择"",""text"":""变异是随机的，自然选择是非随机的筛选。"",""misconception"":""环境导致生物发生特定变异"",""correction"":""环境不决定变异方向，只筛选有利的随机变异。""}",千问.txt
千问_A_C16,Alibaba Qwen,Alibaba Qwen,A,Biology,C16,遗传信息与性状,基因决定性状，但环境也会影响表现。,基因决定性状，但环境也会影响表现。,"{""id"":""C16"",""concept"":""遗传信息与性状"",""text"":""基因决定性状，但环境也会影响表现。"",""misconception"":""基因决定一切，环境没影响"",""correction"":""性状是基因与环境共同作用的结果。""}",千问.txt
