call_attempt_uid,source_run_dir,source_log_line,judge_provider,item_id,paper_model_label,judge_model_requested,judge_model_returned,actual_api_model,api_endpoint_host,api_endpoint_sha256,http_status,parse_success,retry_count,request_date,response_date,elapsed_seconds_rounded,temperature,top_p,seed,max_output_tokens,response_format,tools_enabled,stream,reasoning_effort_or_thinking_do_sample,usage_prompt_tokens,usage_completion_tokens,parsed_score_present,fa,cc,lc,tf,mq,risk,raw_response_sha256,raw_response_bytes,system_backend_id_present,system_backend_id_sha256,error_message_present,error_message_sha256
API_OPENAI_0001,api_judge_run_20260514_163748,1,openai,ITEM_004,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,15.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",1039,466,TRUE,4,3,4,4,4,2,192e9ad0a24b651759d4e37967c4fec2683aa255c9429fe999f75930e5e2750e,4211,FALSE,,FALSE,
API_OPENAI_0002,api_judge_run_20260514_163748,2,openai,ITEM_010,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,13.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",1045,590,TRUE,4,3,5,5,4,2,4d1c2f45a9e73e122c85e9f3ef52c5d1a64cad72a87bf66d51497938a39d0da1,4211,FALSE,,FALSE,
API_OPENAI_0003,api_judge_run_20260514_163748,3,openai,ITEM_016,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,16.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",1036,498,TRUE,4,3,5,5,5,2,b4b831f7124ec3c59b07c39af1d771436dd3b02bb6566717b907cbb5a79fdb2f,4211,FALSE,,FALSE,
API_OPENAI_0004,api_judge_run_20260514_163748,4,openai,ITEM_022,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,17.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",1050,590,TRUE,4,3,5,5,4,2,d5454f9081eae798d8d9a78980920e1f9a5f7daf92d97aeb8cf291e12bc20bbb,4211,FALSE,,FALSE,
API_OPENAI_0005,api_judge_run_20260514_163748,5,openai,ITEM_028,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,13.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",1059,590,TRUE,3,2,4,4,3,3,f0d32405aa45d05e2e2daa7b38f1c25dd07ae15b18315940a09a689e4e730e12,4211,FALSE,,FALSE,
API_OPENAI_0006,api_judge_run_20260514_163748,6,openai,ITEM_063,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,18.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",995,590,TRUE,1,1,2,1,1,4,337101a4c5ec686283ca903fbdf1484ed886c34190f6a4b79c4fd87493fe349d,4210,FALSE,,FALSE,
API_OPENAI_0007,api_judge_run_20260514_163748,7,openai,ITEM_064,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,15.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",994,590,TRUE,1,1,2,1,1,4,1b5abbfbb8f3dd15c7112ee0640ec0a874f3f7819387868cbe53e68929930c37,4210,FALSE,,FALSE,
API_OPENAI_0008,api_judge_run_20260514_163748,8,openai,ITEM_069,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,15.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",992,590,TRUE,1,1,2,1,1,5,978ec29d19c2e4f933b4d3b58866e3d326381f75de6db736b4b209e8d8825f4c,4210,FALSE,,FALSE,
API_OPENAI_0009,api_judge_run_20260514_163748,9,openai,ITEM_070,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,20.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",998,590,TRUE,1,1,2,1,1,4,8eb7d1c4c4bf44385fe7ab7066e694199e1437fc6fdcf3eae29dcd249d2e7971,4210,FALSE,,FALSE,
API_OPENAI_0010,api_judge_run_20260514_163748,10,openai,ITEM_075,GPT-5.5 Thinking,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,api.openai.com,ee0291cefbb5b6136483fb38ba9efe9264f9b685d5006c273e293a54b43a1883,200,TRUE,0,2026-05-14,2026-05-14,14.000,unsupported_not_set; target=0; note=unsupported_not_set_for_gpt_5_5,not_set,unsupported,,json_schema,FALSE,,"{""reasoning_effort"": ""high""}",999,590,TRUE,1,1,2,1,1,4,0ff721fb5d7ae7120eb006043ab664e311990a8eceb81e2c00280c2814027182,4210,FALSE,,FALSE,
