subset,source,target,n,pearson_r,pearson_p,spearman_r,spearman_p,note
all_tasks,api_mean_full810,human_quality,180,-0.33476272533270834,4.363925948464588e-06,-0.30046464433220066,4.1642566440578625e-05,
all_tasks,api_mean_full810,human_risk,180,-0.23946168601788254,0.0012055293326066333,-0.242433661854138,0.0010418130099932692,
all_tasks,web_interface_mean,human_quality,180,0.03175366203895605,0.6721793663144564,0.0050026748628144825,0.9468597433868329,
all_tasks,web_interface_mean,human_risk,180,-0.00795445193032841,0.9155995254694315,0.005799851480224787,0.9384073895876444,
task_ab_only,api_mean_full810,human_quality,120,0.08831385673951947,0.3374682901503761,0.024216265376669755,0.7929068673245862,
task_ab_only,api_mean_full810,human_risk,120,-0.02966638831404248,0.7477191632408822,-0.017617141350976705,0.8485405131915852,
task_ab_only,web_interface_mean,human_quality,120,0.18715876163739964,0.04066927154046166,0.16181505113108904,0.07744663211132165,
task_ab_only,web_interface_mean,human_risk,120,0.13321235452993757,0.1469283109250287,0.1005482289751068,0.27452831380704984,
task_a,api_mean_full810,human_quality,60,-0.009935247705616712,0.9399433756459101,0.029686021553439797,0.8218553122468377,
task_a,api_mean_full810,human_risk,60,0.019185649229531348,0.8843172620670845,0.026940921497126128,0.8380951189915427,
task_a,web_interface_mean,human_quality,60,0.0560791778048486,0.670410379556634,0.05192455967118405,0.6935728562297515,
task_a,web_interface_mean,human_risk,60,0.10700940785721932,0.4157622526822793,0.04049263238792137,0.7587044253052411,
task_b,api_mean_full810,human_quality,60,0.14365643048602142,0.27349838377806207,0.06260693352810306,0.6346327186796796,
task_b,api_mean_full810,human_risk,60,0.08353983040944638,0.5256924821972819,0.10479950460907911,0.4255120724519808,
task_b,web_interface_mean,human_quality,60,0.3154762374831155,0.014075953455313487,0.21105584960324822,0.10550466104872917,
task_b,web_interface_mean,human_risk,60,0.1596271132790711,0.22311533876928538,0.19548357473018166,0.13443508895021622,
task_c_input_integrity_failed,api_mean_full810,human_quality,60,0.02234122459375099,0.8654544156011968,0.28563675286619694,0.02694569492788765,Task C API inputs failed the full-quiz integrity check; API Task-C rows are diagnostic only.
task_c_input_integrity_failed,api_mean_full810,human_risk,60,0.05284203170948814,0.68843288598359,0.12340365001521957,0.3475409644780049,Task C API inputs failed the full-quiz integrity check; API Task-C rows are diagnostic only.
task_c_input_integrity_failed,web_interface_mean,human_quality,60,0.10890519984150086,0.40750160316052464,0.03180468456547403,0.8093717214927567,
task_c_input_integrity_failed,web_interface_mean,human_risk,60,0.06418616159477414,0.6260967449482191,0.07282757815313366,0.5802713974450868,
