item_id,domain,concept,task_type,generated_text
API810_001,Physics,惯性,A,"text: 惯性是物体保持原有运动状态的性质。
misconception: 运动必须一直受力
correction: 没有净力时，物体也可保持匀速直线运动。"
API810_002,Physics,净力与加速度,A,"text: 力改变物体运动状态，产生加速度。
misconception: 力是维持速度的原因
correction: 力是改变速度的原因，速度变化才需要净力。"
API810_003,Physics,牛顿第三定律,A,"text: 作用力与反作用力大小相等、方向相反。
misconception: 作用力大于反作用力
correction: 两力同时存在，大小永远相等，作用于不同物体。"
API810_004,Physics,抛体运动,A,"text: 水平匀速与竖直自由落体的合成运动。
misconception: 水平运动需要持续受力
correction: 水平方向不受力，仅靠惯性匀速运动。"
API810_005,Physics,圆周运动,A,"text: 物体做圆周运动时需要向心力维持。
misconception: 圆周运动会产生离心力
correction: 离心力是假想力，实际只有向心力拉向圆心。"
API810_006,Physics,摩擦力与运动,A,"text: 摩擦力阻碍相对运动，但不总是阻碍物体前进。
misconception: 摩擦力总是阻碍物体运动
correction: 人走路或车加速时，摩擦力是前进的动力。"
API810_007,Chemistry,质量守恒,A,"text: 化学反应前后，物质总质量保持不变。
misconception: 燃烧后质量消失
correction: 燃烧产物质量等于反应物质量，质量不会消失。"
API810_008,Chemistry,物质微粒观,A,"text: 物质由微小粒子构成，粒子间有空隙。
misconception: 原子像实心小球
correction: 原子内部绝大部分是空的，电子云分布概率。"
API810_009,Chemistry,相变,A,"text: 物质状态变化是物理变化，分子本身未变。
misconception: 水烧开后变成气体，分子被破坏了
correction: 相变只改变分子间距，分子结构保持不变。"
API810_010,Chemistry,化学反应与物理变化,A,"text: 化学反应生成新物质，物理变化不生成。
misconception: 发光发热就是化学变化
correction: 灯泡发光发热是物理变化，未生成新物质。"
API810_011,Chemistry,化学键,A,"text: 化学键是原子间强烈的相互作用。
misconception: 化学键是胶水一样的物质
correction: 化学键是电磁力作用，不是实体物质。"
API810_012,Chemistry,溶液浓度与稀释,A,"text: 稀释溶液时，溶质的量保持不变。
misconception: 加水稀释，溶质变少了
correction: 加水只增加溶剂，溶质的量在稀释中不变。"
API810_013,Biology,自然选择,A,"text: 适应环境的个体更可能生存并留下后代。
misconception: 生物为了适应而主动改变
correction: 环境筛选已有的变异，生物不主动改变基因。"
API810_014,Biology,进化没有预设目标,A,"text: 进化是随机过程，没有向更高级发展的目标。
misconception: 生物进化是为了变得更完美
correction: 进化没有目标，只有适应当前环境的生存。"
API810_015,Biology,随机变异与非随机选择,A,"text: 变异是随机的，自然选择是非随机的筛选。
misconception: 环境导致生物发生特定变异
correction: 环境不决定变异方向，只筛选有利的随机变异。"
API810_016,Biology,遗传信息与性状,A,"text: 基因决定性状，但环境也会影响表现。
misconception: 基因决定一切，环境没影响
correction: 性状是基因与环境共同作用的结果。"
API810_017,Biology,能量流动与物质循环,A,"text: 能量单向流动，物质在生态系统中循环。
misconception: 能量在食物链中循环使用
correction: 能量流动是单向的，物质才是循环的。"
API810_018,Biology,光合作用与细胞呼吸,A,"text: 光合作用储能，细胞呼吸释能，互为逆过程。
misconception: 植物只在白天进行光合作用
correction: 植物全天进行呼吸作用，光合作用仅在光下。"
API810_019,Geoscience,板块构造,A,"text: 地球岩石圈分裂成板块，在软流层上移动。
misconception: 大陆漂移是传说，没有证据
correction: 古地磁和GPS数据证实板块确实在缓慢移动。"
API810_020,Geoscience,地质时间,A,"text: 地球历史长达46亿年，人类历史极短。
misconception: 地球历史很短，只有几千年
correction: 地球已有46亿年历史，人类出现仅百万年。"
API810_021,Geoscience,岩石循环,A,"text: 三大类岩石在地质作用下可相互转化。
misconception: 岩石是永恒不变的
correction: 岩石在高温高压下可熔化或变质，不断转化。"
API810_022,Geoscience,地震成因,A,"text: 板块间应力积累超过岩石强度引发震动。
misconception: 地震是地底空洞塌陷造成的
correction: 地震主要源于板块挤压断裂释放的巨大能量。"
API810_023,Geoscience,火山与板块边界,A,"text: 火山多分布在板块交界处，内部岩浆喷发。
misconception: 火山是地底燃烧的大火堆
correction: 火山喷发是高温熔融岩石（岩浆），非燃烧。"
API810_024,Geoscience,地球内部结构,A,"text: 地球分为地壳、地幔、地核三层结构。
misconception: 地球内部全是炽热的岩浆
correction: 地幔大部分是固态岩石，仅局部熔融。"
API810_025,Climate/Environment,温室效应,A,"text: 温室气体捕获热量，维持地球适宜温度。
misconception: 温室效应是坏的，应该完全消除
correction: 自然温室效应是必须的，没有它地球会很冷。"
API810_026,Climate/Environment,天气与气候,A,"text: 天气是短期现象，气候是长期统计平均。
misconception: 今天很冷，说明气候变暖是假的
correction: 气候看长期趋势，单日冷暖不代表气候变冷。"
API810_027,Climate/Environment,全球变暖与气候变化,A,"text: 全球变暖导致极端天气增多，气候模式改变。
misconception: 全球变暖就是天气越来越热
correction: 全球变暖指平均气温上升，不代表每天更热。"
API810_028,Climate/Environment,二氧化碳的气候作用,A,"text: 二氧化碳是主要温室气体，调节地球温度。
misconception: 二氧化碳只占0.04%，影响微乎其微
correction: 微量二氧化碳对温室效应起决定性作用。"
API810_029,Climate/Environment,海洋垃圾与塑料污染,A,"text: 塑料难以降解，破坏海洋生态和食物链。
misconception: 海洋很大，能稀释所有塑料垃圾
correction: 塑料在海洋中累积形成垃圾带，无法自然稀释。"
API810_030,Climate/Environment,自然变率与人为影响,A,"text: 气候变化由自然和人为因素共同导致。
misconception: 气候变化全是自然周期，与人类无关
correction: 近百年变暖主要由人类燃烧化石燃料导致。"
API810_031,Physics,惯性,B,"{""concept"": ""惯性"", ""id"": ""C01"", ""scene"": ""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"", ""tags"": [""惯性"", ""运动状态"", ""净力""], ""title"": ""公交急刹"", ""warning"": ""别把惯性误解成一种力。""}"
API810_032,Physics,净力与加速度,B,"{""concept"": ""净力与加速度"", ""id"": ""C02"", ""scene"": ""小美在冰壶馆，看着冰壶减速，明白了力改变运动状态。"", ""tags"": [""净力"", ""加速度"", ""匀速""], ""title"": ""冰壶滑行"", ""warning"": ""匀速运动不需要净力。""}"
API810_033,Physics,牛顿第三定律,B,"{""concept"": ""牛顿第三定律"", ""id"": ""C03"", ""scene"": ""小刚用力推墙，自己却后退，发现作用力与反作用力。"", ""tags"": [""作用力"", ""反作用力"", ""对等""], ""title"": ""推墙测试"", ""warning"": ""两力大小永远相等。""}"
API810_034,Physics,抛体运动,B,"{""concept"": ""抛体运动"", ""id"": ""C04"", ""scene"": ""小明投篮，篮球划出弧线，水平方向不受力也能前进。"", ""tags"": [""抛体"", ""水平"", ""竖直""], ""title"": ""篮球投射"", ""warning"": ""水平运动不需要持续受力。""}"
API810_035,Physics,圆周运动,B,"{""concept"": ""圆周运动"", ""id"": ""C05"", ""scene"": ""小丽在游乐场坐旋转茶杯，感觉被甩出去，其实是向心力。"", ""tags"": [""圆周"", ""向心力"", ""离心""], ""title"": ""旋转茶杯"", ""warning"": ""离心力是假想力。""}"
API810_036,Physics,摩擦力与运动,B,"{""concept"": ""摩擦力与运动"", ""id"": ""C06"", ""scene"": ""小王跑步起步，鞋底摩擦地面，摩擦力才是前进的动力。"", ""tags"": [""摩擦力"", ""动力"", ""相对""], ""title"": ""起步奔跑"", ""warning"": ""摩擦力也能推动物体。""}"
API810_037,Chemistry,质量守恒,B,"{""concept"": ""质量守恒"", ""id"": ""C07"", ""scene"": ""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"", ""tags"": [""质量"", ""守恒"", ""燃烧""], ""title"": ""蜡烛燃烧"", ""warning"": ""燃烧产物质量等于反应物。""}"
API810_038,Chemistry,物质微粒观,B,"{""concept"": ""物质微粒观"", ""id"": ""C08"", ""scene"": ""小张看着原子模型，发现原子内部其实大部分是空的。"", ""tags"": [""微粒"", ""原子"", ""空隙""], ""title"": ""原子模型"", ""warning"": ""原子不是实心小球。""}"
API810_039,Chemistry,相变,B,"{""concept"": ""相变"", ""id"": ""C09"", ""scene"": ""妈妈烧开水，水变成气体，但水分子结构其实没破坏。"", ""tags"": [""相变"", ""分子间距"", ""结构""], ""title"": ""水烧开了"", ""warning"": ""相变不改变分子结构。""}"
API810_040,Chemistry,化学反应与物理变化,B,"{""concept"": ""化学反应与物理变化"", ""id"": ""C10"", ""scene"": ""小刘打开台灯，灯泡发热发光，但这只是物理变化。"", ""tags"": [""物理变化"", ""化学变化"", ""发光""], ""title"": ""灯泡发光"", ""warning"": ""发光发热不一定是化学变化。""}"
API810_041,Chemistry,化学键,B,"{""concept"": ""化学键"", ""id"": ""C11"", ""scene"": ""小陈在化学课上，把化学键想象成原子间的电磁牵手。"", ""tags"": [""化学键"", ""电磁力"", ""相互作用""], ""title"": ""原子牵手"", ""warning"": ""化学键不是实体胶水。""}"
API810_042,Chemistry,溶液浓度与稀释,B,"{""concept"": ""溶液浓度与稀释"", ""id"": ""C12"", ""scene"": ""小杨把果汁加水稀释，果汁变淡了，但糖分一点没少。"", ""tags"": [""稀释"", ""溶质"", ""浓度""], ""title"": ""果汁加水"", ""warning"": ""加水不减少溶质的量。""}"
API810_043,Biology,自然选择,B,"{""concept"": ""自然选择"", ""id"": ""C13"", ""scene"": ""小周看纪录片，长颈鹿不是想变长，而是环境筛选了它们。"", ""tags"": [""自然选择"", ""适应"", ""筛选""], ""title"": ""长颈鹿吃叶"", ""warning"": ""生物不主动改变基因。""}"
API810_044,Biology,进化没有预设目标,B,"{""concept"": ""进化没有预设目标"", ""id"": ""C14"", ""scene"": ""小吴把进化比作盲人登山，没有目标，只有适应当前。"", ""tags"": [""进化"", ""目标"", ""适应""], ""title"": ""盲人登山"", ""warning"": ""进化没有完美目标。""}"
API810_045,Biology,随机变异与非随机选择,B,"{""concept"": ""随机变异与非随机选择"", ""id"": ""C15"", ""scene"": ""小郑在公园，明白环境不决定变异，只筛选已有的变异。"", ""tags"": [""随机"", ""变异"", ""筛选""], ""title"": ""变异彩票"", ""warning"": ""环境不导致特定变异。""}"
API810_046,Biology,遗传信息与性状,B,"{""concept"": ""遗传信息与性状"", ""id"": ""C16"", ""scene"": ""双胞胎虽然基因相同，但生活环境不同，性状也会不同。"", ""tags"": [""基因"", ""环境"", ""性状""], ""title"": ""双胞胎差异"", ""warning"": ""性状是基因与环境共同结果。""}"
API810_047,Biology,能量流动与物质循环,B,"{""concept"": ""能量流动与物质循环"", ""id"": ""C17"", ""scene"": ""小孙观察池塘，能量单向流走，物质却在鱼和水间循环。"", ""tags"": [""能量"", ""物质"", ""循环""], ""title"": ""食物链条"", ""warning"": ""能量流动是单向的。""}"
API810_048,Biology,光合作用与细胞呼吸,B,"{""concept"": ""光合作用与细胞呼吸"", ""id"": ""C18"", ""scene"": ""小钱发现植物白天光合，晚上呼吸，全天都在释放能量。"", ""tags"": [""光合"", ""呼吸"", ""能量""], ""title"": ""植物呼吸"", ""warning"": ""植物全天进行呼吸作用。""}"
API810_049,Geoscience,板块构造,B,"{""concept"": ""板块构造"", ""id"": ""C19"", ""scene"": ""小冯看着地球仪，大陆像拼图，在软流层上缓慢移动。"", ""tags"": [""板块"", ""构造"", ""移动""], ""title"": ""大陆漂移"", ""warning"": ""板块确实在缓慢移动。""}"
API810_050,Geoscience,地质时间,B,"{""concept"": ""地质时间"", ""id"": ""C20"", ""scene"": ""小沈把地球历史比作年历，人类出现只在最后几秒。"", ""tags"": [""地质"", ""时间"", ""历史""], ""title"": ""地球年历"", ""warning"": ""人类历史极短。""}"
API810_051,Geoscience,岩石循环,B,"{""concept"": ""岩石循环"", ""id"": ""C21"", ""scene"": ""小韩在野外，看到岩石在高温高压下，能变成另一种岩石。"", ""tags"": [""岩石"", ""循环"", ""转化""], ""title"": ""岩石变形"", ""warning"": ""岩石在不断转化。""}"
API810_052,Geoscience,地震成因,B,"{""concept"": ""地震成因"", ""id"": ""C22"", ""scene"": ""小何用积木模拟，地震是应力积累超过强度，瞬间释放。"", ""tags"": [""地震"", ""应力"", ""断裂""], ""title"": ""积木倒塌"", ""warning"": ""源于板块挤压断裂。""}"
API810_053,Geoscience,火山与板块边界,B,"{""concept"": ""火山与板块边界"", ""id"": ""C23"", ""scene"": ""小唐看火山视频，岩浆来自地下熔融岩石，不是燃烧。"", ""tags"": [""火山"", ""岩浆"", ""板块""], ""title"": ""岩浆喷发"", ""warning"": ""岩浆不是地底大火。""}"
API810_054,Geoscience,地球内部结构,B,"{""concept"": ""地球内部结构"", ""id"": ""C24"", ""scene"": ""小邓看着地球切面图，地幔大部分是固态，不是岩浆。"", ""tags"": [""内部"", ""地幔"", ""结构""], ""title"": ""地球切面"", ""warning"": ""地幔大部分是固态。""}"
API810_055,Climate/Environment,温室效应,B,"{""concept"": ""温室效应"", ""id"": ""C25"", ""scene"": ""小吕想象地球裹着棉被，温室效应让地球不至于太冷。"", ""tags"": [""温室"", ""保温"", ""效应""], ""title"": ""地球保温"", ""warning"": ""自然温室效应是必须的。""}"
API810_056,Climate/Environment,天气与气候,B,"{""concept"": ""天气与气候"", ""id"": ""C26"", ""scene"": ""小蒋感觉今天很冷，但气候看的是长期趋势，不是单日。"", ""tags"": [""天气"", ""气候"", ""趋势""], ""title"": ""今天很冷"", ""warning"": ""单日冷暖不代表气候。""}"
API810_057,Climate/Environment,全球变暖与气候变化,B,"{""concept"": ""全球变暖与气候变化"", ""id"": ""C27"", ""scene"": ""小蔡看新闻，全球变暖导致极端天气增多，不是每天更热。"", ""tags"": [""变暖"", ""极端"", ""气候""], ""title"": ""极端天气"", ""warning"": ""平均气温上升不代表每天热。""}"
API810_058,Climate/Environment,二氧化碳的气候作用,B,"{""concept"": ""二氧化碳的气候作用"", ""id"": ""C28"", ""scene"": ""小魏学习大气，二氧化碳虽少，却是调节温度的关键。"", ""tags"": [""二氧化碳"", ""温室"", ""关键""], ""title"": ""微量关键"", ""warning"": ""微量气体起决定性作用。""}"
API810_059,Climate/Environment,海洋垃圾与塑料污染,B,"{""concept"": ""海洋垃圾与塑料污染"", ""id"": ""C29"", ""scene"": ""小朱看纪录片，塑料在海洋中累积，无法自然稀释分解。"", ""tags"": [""海洋"", ""塑料"", ""污染""], ""title"": ""海洋垃圾"", ""warning"": ""海洋无法稀释塑料垃圾。""}"
API810_060,Climate/Environment,自然变率与人为影响,B,"{""concept"": ""自然变率与人为影响"", ""id"": ""C30"", ""scene"": ""小秦分析数据，近百年变暖主要由人类燃烧化石燃料导致。"", ""tags"": [""变暖"", ""人为"", ""主因""], ""title"": ""变暖主因"", ""warning"": ""近百年变暖主要由人类导致。""}"
API810_061,Physics,惯性,C,answer: A
API810_062,Physics,净力与加速度,C,answer: B
API810_063,Physics,牛顿第三定律,C,answer: A
API810_064,Physics,抛体运动,C,answer: C
API810_065,Physics,圆周运动,C,answer: B
API810_066,Physics,摩擦力与运动,C,answer: B
API810_067,Chemistry,质量守恒,C,answer: B
API810_068,Chemistry,物质微粒观,C,answer: C
API810_069,Chemistry,相变,C,answer: B
API810_070,Chemistry,化学反应与物理变化,C,answer: C
API810_071,Chemistry,化学键,C,answer: C
API810_072,Chemistry,溶液浓度与稀释,C,answer: B
API810_073,Biology,自然选择,C,answer: B
API810_074,Biology,进化没有预设目标,C,answer: C
API810_075,Biology,随机变异与非随机选择,C,answer: C
API810_076,Biology,遗传信息与性状,C,answer: B
API810_077,Biology,能量流动与物质循环,C,answer: B
API810_078,Biology,光合作用与细胞呼吸,C,answer: C
API810_079,Geoscience,板块构造,C,answer: B
API810_080,Geoscience,地质时间,C,answer: C
API810_081,Geoscience,岩石循环,C,answer: B
API810_082,Geoscience,地震成因,C,answer: B
API810_083,Geoscience,火山与板块边界,C,answer: C
API810_084,Geoscience,地球内部结构,C,answer: C
API810_085,Climate/Environment,温室效应,C,answer: C
API810_086,Climate/Environment,天气与气候,C,answer: B
API810_087,Climate/Environment,全球变暖与气候变化,C,answer: B
API810_088,Climate/Environment,二氧化碳的气候作用,C,answer: B
API810_089,Climate/Environment,海洋垃圾与塑料污染,C,answer: C
API810_090,Climate/Environment,自然变率与人为影响,C,answer: C
API810_091,Physics,惯性,A,"text: 惯性是物体保持原有运动状态的性质，与质量有关，质量越大惯性越大。
misconception: 运动必须一直受力
correction: 没有净力时，物体也可保持匀速直线运动。"
API810_092,Physics,净力与加速度,A,"text: 加速度由合外力决定，合外力为零时加速度为零，物体不一定静止。
misconception: 有速度就有力，静止就没有力
correction: 加速度为零只说明合外力为零，不代表无力。"
API810_093,Physics,牛顿第三定律,A,"text: 作用力与反作用力大小相等、方向相反，作用在两个不同物体上，同时存在。
misconception: 作用力与反作用力会互相抵消
correction: 两力作用在不同物体上，不能相互抵消。"
API810_094,Physics,抛体运动,A,"text: 抛体运动是水平匀速与竖直加速的合运动，两方向互相独立。
misconception: 重的物体落得更快
correction: 忽略空气阻力时，所有物体竖直加速度相同。"
API810_095,Physics,圆周运动,A,"text: 做圆周运动的物体受指向圆心的合外力，速度方向不断改变，所以存在加速度。
misconception: 匀速圆周运动没有加速度
correction: 速度方向改变即有加速度，向心加速度指向圆心。"
API810_096,Physics,摩擦力与运动,A,"text: 摩擦力可以与运动方向相同，静摩擦力也可以是驱动力。
misconception: 摩擦力总是阻碍运动
correction: 摩擦力阻碍的是相对滑动趋势，并非一定反向于运动。"
API810_097,Chemistry,质量守恒,A,"text: 化学反应前后各物质的质量总和不变，原子种类和数目不变。
misconception: 燃烧后灰烬变轻，质量不守恒
correction: 计入气体产物后，总质量仍守恒。"
API810_098,Chemistry,物质微粒观,A,"text: 物质由原子、分子等微粒构成，微粒之间有间隔，处于不断运动中。
misconception: 物质是连续的，可以无限分割
correction: 物质有最小结构单元，不能无限分割。"
API810_099,Chemistry,相变,A,"text: 相变是物质在固、液、气态之间的转变，发生时温度可以不变但需要吸放热。
misconception: 加热物质温度一定升高
correction: 相变过程中吸热但温度保持不变。"
API810_100,Chemistry,化学反应与物理变化,A,"text: 化学变化生成新物质，物理变化只改变形态，不产生新物质。
misconception: 发光发热一定是化学变化
correction: 灯泡发光是物理变化，区分关键在于是否生成新物质。"
API810_101,Chemistry,化学键,A,"text: 化学键是原子间的作用力，分为离子键、共价键等，断键需要能量，成键释放能量。
misconception: 化学键是分子之间的力
correction: 化学键存在于原子之间，分子间作用力另称分子间力。"
API810_102,Chemistry,溶液浓度与稀释,A,"text: 稀释溶液时，溶质的量不变，溶剂增多，浓度降低。
misconception: 浓度减半只需加等量水
correction: 浓度减半需使溶液总体积翻倍，而非仅加等量水。"
API810_103,Biology,自然选择,A,"text: 自然选择使适应环境的个体更易存活并繁殖，从而使有利性状在种群中扩散。
misconception: 生物为了适应环境而主动进化
correction: 自然选择作用于已有变异，生物不会主动改变自身。"
API810_104,Biology,进化没有预设目标,A,"text: 进化是自然选择对随机变异的筛选结果，没有方向，也没有终点。
misconception: 进化是朝着“更高级”方向前进的
correction: 进化无目标，只反映对当前环境的适应程度。"
API810_105,Biology,随机变异与非随机选择,A,"text: 基因变异是随机的，但自然选择对变异的筛选是非随机的，有利变异更易保留。
misconception: 进化完全是随机的
correction: 变异随机，但选择有方向，由环境决定。"
API810_106,Biology,遗传信息与性状,A,"text: 基因通过控制蛋白质合成来影响性状，环境也会影响性状的表现。
misconception: 一个基因决定一个性状
correction: 性状受多基因和环境共同影响，关系并非一一对应。"
API810_107,Biology,能量流动与物质循环,A,"text: 生态系统中能量单向流动逐级递减，物质则可循环利用。
misconception: 物质和能量都会不断消耗殆尽
correction: 能量不可循环，物质可循环，两者规律不同。"
API810_108,Biology,光合作用与细胞呼吸,A,"text: 植物既进行光合作用储存能量，也进行细胞呼吸释放能量，两者同时存在。
misconception: 植物白天呼吸，晚上光合
correction: 光合作用需要光，细胞呼吸全天进行，两者不互斥。"
API810_109,Geoscience,板块构造,A,"text: 地球岩石圈分为若干板块，板块在软流圈上缓慢移动，边界处地质活动活跃。
misconception: 大陆漂移是大陆在海洋上漂浮
correction: 大陆随板块整体运动，并非漂浮在水上。"
API810_110,Geoscience,地质时间,A,"text: 地球历史约46亿年，人类出现的时间相对于地质时间极为短暂。
misconception: 地球历史与人类历史时间尺度相近
correction: 地质时间以百万年计，人类历史仅占其极小片段。"
API810_111,Geoscience,岩石循环,A,"text: 岩石在地质过程中可相互转化：岩浆岩、沉积岩、变质岩可通过不同作用循环转变。
misconception: 岩石是永久不变的固体
correction: 岩石在地质时间尺度上可熔融、沉积、变质，不断循环。"
API810_112,Geoscience,地震成因,A,"text: 地震主要由板块运动导致断层错动引发，能量以地震波形式向四周传播。
misconception: 地震是地下空洞塌陷造成的
correction: 绝大多数地震源于构造断层运动，而非地下空洞。"
API810_113,Geoscience,火山与板块边界,A,"text: 大多数火山分布在板块边界，与板块俯冲或扩张有关，少数位于热点区域。
misconception: 火山随机分布在地球各处
correction: 火山集中在板块边界，分布有规律可循。"
API810_114,Geoscience,地球内部结构,A,"text: 地球由地壳、地幔、外核（液态）和内核（固态）组成，主要依据地震波推断。
misconception: 地球内部是空心的或全部熔融
correction: 地球内部分层，内核为固态铁镍，并非全部液态。"
API810_115,Climate/Environment,温室效应,A,"text: 温室气体吸收地表辐射的红外线并再辐射回地表，使地球保持适宜温度。
misconception: 温室效应是有害的异常现象
correction: 适度的温室效应是自然现象，使地球不至于过冷。"
API810_116,Climate/Environment,天气与气候,A,"text: 天气是短时间的大气状态，气候是某地区长期的平均大气特征，两者时间尺度不同。
misconception: 天气和气候是同一回事
correction: 天气多变且短暂，气候反映长期统计规律。"
API810_117,Climate/Environment,全球变暖与气候变化,A,"text: 全球变暖指地球平均气温上升，气候变化涵盖更广泛的气候系统变化。
misconception: 某地变冷说明全球变暖不存在
correction: 局部天气异常不能否定全球平均气温上升的趋势。"
API810_118,Climate/Environment,二氧化碳的气候作用,A,"text: CO₂是主要的人为温室气体，大量排放增强温室效应，导致气候变暖。
misconception: CO₂是污染物，对植物有害
correction: CO₂是植物光合所需，但浓度过高会加剧气候变暖。"
API810_119,Climate/Environment,海洋垃圾与塑料污染,A,"text: 塑料难以降解，在海洋中破碎为微塑料，进入食物链，危害生态系统。
misconception: 塑料进入海洋后会自然消失
correction: 塑料不会消失，只会碎裂为更小颗粒长期残留。"
API810_120,Climate/Environment,自然变率与人为影响,A,"text: 气候既受自然因素波动影响，也受人类活动干扰，当前变暖主要由人为排放驱动。
misconception: 气候变化都是自然波动，与人类无关
correction: 科学证据表明，近百年变暖主要由人类活动造成。"
API810_121,Physics,惯性,B,"{""concept"": ""惯性"", ""id"": ""C01"", ""scene"": ""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"", ""tags"": [""惯性"", ""运动状态"", ""净力""], ""title"": ""急刹那刻"", ""warning"": ""别把惯性误解成一种力。""}"
API810_122,Physics,净力与加速度,B,"{""concept"": ""净力与加速度"", ""id"": ""C02"", ""scene"": ""阿明站在体重秤上，电梯匀速上升时示数不变，他很困惑。"", ""tags"": [""合外力"", ""加速度"", ""平衡""], ""title"": ""电梯里的秤"", ""warning"": ""匀速运动不代表没有力，是合力为零。""}"
API810_123,Physics,牛顿第三定律,B,"{""concept"": ""牛顿第三定律"", ""id"": ""C03"", ""scene"": ""小杰踢墙，脚很痛，墙没动——但墙确实也在“踢”他。"", ""tags"": [""作用力"", ""反作用力"", ""成对出现""], ""title"": ""踢墙的脚"", ""warning"": ""两力在不同物体上，不会互相抵消。""}"
API810_124,Physics,抛体运动,B,"{""concept"": ""抛体运动"", ""id"": ""C04"", ""scene"": ""晓雯抛出篮球，球在空中画弧，水平与竖直运动各自独立。"", ""tags"": [""抛体"", ""独立分运动"", ""重力""], ""title"": ""篮球出手后"", ""warning"": ""重的球落地不会更快，忽略阻力时一样。""}"
API810_125,Physics,圆周运动,B,"{""concept"": ""圆周运动"", ""id"": ""C05"", ""scene"": ""阿强甩石头，绳子一断石头飞出去，不是向外飞而是沿切线飞。"", ""tags"": [""向心力"", ""切线方向"", ""圆周""], ""title"": ""甩石头的绳"", ""warning"": ""没有所谓的'离心力'，松手是失去向心力。""}"
API810_126,Physics,摩擦力与运动,B,"{""concept"": ""摩擦力与运动"", ""id"": ""C06"", ""scene"": ""小敏跑步，鞋底摩擦地面向后，地面摩擦力向前推着她跑。"", ""tags"": [""摩擦力"", ""驱动力"", ""相对滑动""], ""title"": ""鞋底推着走"", ""warning"": ""摩擦力不总是阻力，也可以是动力。""}"
API810_127,Chemistry,质量守恒,B,"{""concept"": ""质量守恒"", ""id"": ""C07"", ""scene"": ""老师把蜡烛燃烧产生的气体收集起来，总质量仍与原来相等。"", ""tags"": [""质量守恒"", ""化学反应"", ""原子守恒""], ""title"": ""蜡烛燃尽之谜"", ""warning"": ""灰烬变轻是因为气体散走了，总量不变。""}"
